windowSizeObjectUse,thresholdMinDistanceRFID,thresholdMaxDistanceRFID,windowSizeHAR,cohenKappa
7000,30,200,7500,0.15999383827174934
7000,30,225,7500,0.15999383827174934
7000,30,250,7500,0.15999383827174934
8000,30,175,9000,0.1598834754008224
8000,30,200,9000,0.1598834754008224
8000,30,225,9000,0.1598834754008224
8000,30,250,9000,0.1598834754008224
7000,30,150,8000,0.15969735671767735
7000,30,175,8000,0.15969735671767735
7000,30,200,8000,0.15969735671767735
7000,30,225,8000,0.15969735671767735
7000,30,250,8000,0.15969735671767735
6000,25,150,7000,0.15966160405084973
6000,25,175,7000,0.15966160405084973
6000,25,200,7000,0.15966160405084973
6000,25,225,7000,0.15966160405084973
6000,25,250,7000,0.15966160405084973
7000,25,150,9000,0.1596534459085803
7000,25,175,9000,0.1596534459085803
7000,25,200,9000,0.1596534459085803
7000,25,225,9000,0.1596534459085803
7000,25,250,9000,0.1596534459085803
8000,35,175,8500,0.15964722441094537
8000,35,200,8500,0.15964722441094537
8000,35,225,8500,0.15964722441094537
8000,35,250,8500,0.15964722441094537
5000,20,150,8000,0.15959662107627243
5000,20,175,8000,0.15959662107627243
5000,20,200,8000,0.15959662107627243
5000,20,225,8000,0.15959662107627243
5000,20,250,8000,0.15959662107627243
6000,20,150,9000,0.15956538901740608
6000,20,175,9000,0.15956538901740608
6000,20,200,9000,0.15956538901740608
6000,20,225,9000,0.15956538901740608
6000,20,250,9000,0.15956538901740608
7000,30,150,7000,0.15942914315809606
7000,30,175,7000,0.15942914315809606
7000,30,200,7000,0.15942914315809606
7000,30,225,7000,0.15942914315809606
7000,30,250,7000,0.15942914315809606
6000,25,150,8500,0.1593032268592176
6000,25,175,8500,0.1593032268592176
6000,25,200,8500,0.1593032268592176
6000,25,225,8500,0.1593032268592176
6000,25,250,8500,0.1593032268592176
6000,25,150,6500,0.1592826078498031
6000,25,175,6500,0.1592826078498031
6000,25,200,6500,0.1592826078498031
6000,25,225,6500,0.1592826078498031
6000,25,250,6500,0.1592826078498031
9000,40,200,7000,0.15925656196711377
9000,40,225,7000,0.15925656196711377
9000,40,250,7000,0.15925656196711377
5000,20,150,7500,0.15921031201914262
5000,20,175,7500,0.15921031201914262
5000,20,200,7500,0.15921031201914262
5000,20,225,7500,0.15921031201914262
5000,20,250,7500,0.15921031201914262
8000,20,150,8500,0.15913690749337028
9000,35,200,9000,0.1591153613443795
9000,35,225,9000,0.1591153613443795
9000,35,250,9000,0.1591153613443795
7000,30,150,6500,0.15905225776327006
7000,30,175,6500,0.15905225776327006
7000,30,200,6500,0.15905225776327006
7000,30,225,6500,0.15905225776327006
7000,30,250,6500,0.15905225776327006
5000,20,150,8500,0.15896454996861886
5000,20,175,8500,0.15896454996861886
5000,20,200,8500,0.15896454996861886
5000,20,225,8500,0.15896454996861886
5000,20,250,8500,0.15896454996861886
8500,20,150,6000,0.15895603134529
9000,40,200,6500,0.15888075472371088
9000,40,225,6500,0.15888075472371088
9000,40,250,6500,0.15888075472371088
9000,40,200,7500,0.15881029291717103
9000,40,225,7500,0.15881029291717103
9000,40,250,7500,0.15881029291717103
7000,30,150,8500,0.1587294805294686
7000,30,175,8500,0.1587294805294686
7000,30,200,8500,0.1587294805294686
7000,30,225,8500,0.1587294805294686
7000,30,250,8500,0.1587294805294686
6000,25,150,6000,0.15871347213092302
6000,25,175,6000,0.15871347213092302
6000,25,200,6000,0.15871347213092302
6000,25,225,6000,0.15871347213092302
6000,25,250,6000,0.15871347213092302
5000,20,150,7000,0.1586301820674771
5000,20,175,7000,0.1586301820674771
5000,20,200,7000,0.1586301820674771
5000,20,225,7000,0.1586301820674771
5000,20,250,7000,0.1586301820674771
8500,20,150,6500,0.15852420173756068
9000,40,200,8000,0.15851325718432374
